customer_id,gender,age,province,income,employment_type, loan_amount ,loan_tenor_month, interest_rate , emi ,disbursement_date,status,dpd_days,npl_flag
CUST0001,Male,52,Đồng Nai,7410591,Freelancer," 20,000,000 ",3, 31.67 ," 7,021,610 ",2025-07-19,Overdue,19,0
CUST0002,Female,59,Hà Nội,10833716,Freelancer," 20,000,000 ",6, 57.76 ," 3,916,858 ",2025-02-10,Active,0,0
CUST0003,Female,21,Hồ Chí Minh,25673203,Office," 20,000,000 ",6, 31.42 ," 3,645,382 ",2025-05-04,Active,0,0
CUST0004,Male,57,Cần Thơ,7640524,Labor," 3,000,000 ",12, 31.39 ," 294,516 ",2025-02-23,Overdue,89,1
CUST0005,Female,48,Hải Phòng,19965291,Office," 10,000,000 ",9, 51.75 ," 1,364,148 ",2025-04-08,Active,0,0
CUST0006,Male,43,Hà Nội,27572463,Student," 5,000,000 ",6, 54.12 ," 969,704 ",2025-05-20,Active,0,0
CUST0007,Male,49,Hải Phòng,9871970,Freelancer," 20,000,000 ",6, 57.70 ," 3,916,229 ",2025-07-07,Active,0,0
CUST0008,Male,31,Cần Thơ,20382022,Freelancer," 15,000,000 ",6, 55.58 ," 2,920,542 ",2025-02-22,Active,0,0
CUST0009,Female,25,Huế,17854466,Office," 5,000,000 ",12, 36.70 ," 504,061 ",2025-03-19,Active,0,0
CUST0010,Female,46,Hải Phòng,15604657,Office," 20,000,000 ",6, 41.49 ," 3,748,126 ",2025-07-21,Closed,0,0
CUST0011,Female,29,Hồ Chí Minh,29649008,Labor," 20,000,000 ",3, 42.87 ," 7,148,572 ",2025-03-30,Active,0,0
CUST0012,Female,48,Bình Dương,21700735,Student," 10,000,000 ",9, 57.55 ," 1,394,137 ",2025-02-09,Active,0,0
CUST0013,Male,53,Bình Dương,25948711,Office," 10,000,000 ",9, 52.87 ," 1,369,915 ",2025-03-25,Closed,0,0
CUST0014,Male,58,Cần Thơ,6371608,Labor," 5,000,000 ",6, 52.65 ," 965,876 ",2025-07-04,Active,0,0
CUST0015,Female,26,Hải Phòng,26412029,Freelancer," 20,000,000 ",6, 47.89 ," 3,814,099 ",2025-02-08,Active,0,0
CUST0016,Male,60,Đà Nẵng,29865994,Office," 20,000,000 ",3, 42.72 ," 7,146,866 ",2025-02-10,Closed,0,0
CUST0017,Male,49,Hồ Chí Minh,4968687,Student," 5,000,000 ",3, 31.88 ," 1,755,996 ",2025-03-05,Active,0,0
CUST0018,Male,23,Hà Nội,28436770,Self-employed," 15,000,000 ",3, 47.20 ," 5,398,390 ",2025-04-10,Active,0,0
CUST0019,Male,47,Cần Thơ,26727583,Freelancer," 15,000,000 ",12, 59.84 ," 1,691,108 ",2025-07-21,Active,0,0
CUST0020,Female,28,Hải Phòng,27106902,Student," 15,000,000 ",12, 31.91 ," 1,476,435 ",2025-07-24,Active,0,0
CUST0021,Male,34,Hà Nội,13258484,Office," 5,000,000 ",12, 45.39 ," 526,059 ",2025-02-10,Closed,0,0
CUST0022,Male,25,Hồ Chí Minh,27747671,Office," 10,000,000 ",6, 31.72 ," 1,824,212 ",2025-05-13,Active,0,0
CUST0023,Female,36,Đà Nẵng,16687907,Office," 5,000,000 ",9, 42.48 ," 658,442 ",2025-05-10,Active,0,0
CUST0024,Female,49,Hà Nội,11888821,Labor," 5,000,000 ",6, 58.41 ," 980,917 ",2025-07-08,Active,0,0
CUST0025,Female,51,Bình Dương,6071977,Student," 10,000,000 ",12, 53.34 ," 1,093,214 ",2025-07-12,Active,0,0
CUST0026,Male,54,Hà Nội,19786261,Student," 5,000,000 ",6, 47.03 ," 951,301 ",2025-07-26,Active,0,0
CUST0027,Male,48,Bình Dương,18338621,Freelancer," 5,000,000 ",3, 34.63 ," 1,763,773 ",2025-05-07,Overdue,61,1
CUST0028,Female,34,Hải Phòng,16445283,Labor," 20,000,000 ",3, 56.16 ," 7,300,176 ",2025-03-26,Overdue,21,0
CUST0029,Male,22,Hồ Chí Minh,15071121,Labor," 5,000,000 ",3, 59.25 ," 1,833,892 ",2025-03-03,Closed,0,0
CUST0030,Female,29,Hà Nội,11540079,Freelancer," 15,000,000 ",3, 39.77 ," 5,335,017 ",2025-05-10,Overdue,8,0
CUST0031,Female,34,Cần Thơ,17138980,Self-employed," 3,000,000 ",12, 46.92 ," 317,989 ",2025-06-22,Active,0,0
CUST0032,Female,35,Đà Nẵng,20510652,Self-employed," 15,000,000 ",9, 30.99 ," 1,889,184 ",2025-04-26,Active,0,0
CUST0033,Female,29,Đà Nẵng,7935468,Labor," 3,000,000 ",9, 54.78 ," 413,932 ",2025-04-23,Active,0,0
CUST0034,Male,58,Bình Dương,7649275,Student," 20,000,000 ",6, 55.79 ," 3,896,250 ",2025-03-09,Closed,0,0
CUST0035,Male,35,Huế,11739194,Student," 10,000,000 ",6, 53.76 ," 1,937,532 ",2025-07-22,Overdue,70,1
CUST0036,Male,56,Hồ Chí Minh,18920713,Office," 20,000,000 ",9, 38.09 ," 2,589,582 ",2025-04-26,Active,0,0
CUST0037,Male,45,Đồng Nai,29174148,Labor," 20,000,000 ",12, 56.99 ," 2,224,698 ",2025-06-01,Closed,0,0
CUST0038,Male,20,Hồ Chí Minh,7220256,Office," 5,000,000 ",12, 51.80 ," 542,595 ",2025-05-22,Closed,0,0
CUST0039,Male,31,Hải Phòng,8679622,Student," 15,000,000 ",9, 33.82 ," 1,910,222 ",2025-02-12,Closed,0,0
CUST0040,Female,23,Huế,25426177,Student," 15,000,000 ",12, 53.49 ," 1,640,995 ",2025-04-06,Closed,0,0
CUST0041,Male,32,Đà Nẵng,5388907,Self-employed," 15,000,000 ",3, 50.62 ," 5,427,641 ",2025-04-11,Active,0,0
CUST0042,Female,39,Bình Dương,14211944,Labor," 20,000,000 ",12, 58.97 ," 2,245,597 ",2025-02-12,Closed,0,0
CUST0043,Male,46,Hải Phòng,15151391,Freelancer," 10,000,000 ",6, 41.96 ," 1,876,476 ",2025-06-08,Overdue,11,0
CUST0044,Female,32,Cần Thơ,23097411,Office," 10,000,000 ",6, 59.50 ," 1,967,550 ",2025-03-02,Active,0,0
CUST0045,Female,44,Hà Nội,21277920,Office," 5,000,000 ",3, 43.72 ," 1,789,559 ",2025-05-06,Closed,0,0
CUST0046,Female,39,Hà Nội,28526847,Self-employed," 15,000,000 ",6, 57.29 ," 2,933,952 ",2025-03-27,Active,0,0
CUST0047,Male,51,Hải Phòng,22852757,Freelancer," 3,000,000 ",12, 59.00 ," 336,887 ",2025-03-21,Active,0,0
CUST0048,Female,60,Bình Dương,16203691,Self-employed," 20,000,000 ",9, 47.23 ," 2,682,000 ",2025-05-27,Closed,0,0
CUST0049,Female,20,Bình Dương,23942515,Self-employed," 5,000,000 ",12, 38.82 ," 509,382 ",2025-04-19,Closed,0,0
CUST0050,Male,42,Hải Phòng,21084392,Freelancer," 20,000,000 ",9, 31.11 ," 2,520,099 ",2025-05-21,Active,0,0
CUST0051,Male,37,Hà Nội,20125606,Self-employed," 3,000,000 ",3, 36.46 ," 1,061,372 ",2025-03-04,Active,0,0
CUST0052,Male,33,Hà Nội,5494962,Self-employed," 5,000,000 ",9, 36.23 ," 642,743 ",2025-03-18,Active,0,0
CUST0053,Female,41,Hồ Chí Minh,23106674,Office," 3,000,000 ",9, 31.26 ," 378,237 ",2025-03-02,Closed,0,0
CUST0054,Female,54,Hồ Chí Minh,27831820,Self-employed," 5,000,000 ",6, 47.74 ," 953,136 ",2025-02-28,Closed,0,0
CUST0055,Female,24,Hà Nội,10028506,Office," 15,000,000 ",12, 35.60 ," 1,503,934 ",2025-02-20,Active,0,0
CUST0056,Male,59,Đà Nẵng,28740076,Labor," 20,000,000 ",3, 49.88 ," 7,228,410 ",2025-07-23,Active,0,0
CUST0057,Female,30,Hải Phòng,22967744,Freelancer," 20,000,000 ",12, 56.47 ," 2,219,225 ",2025-04-23,Active,0,0
CUST0058,Female,24,Huế,12743438,Office," 15,000,000 ",12, 39.99 ," 1,536,996 ",2025-07-10,Overdue,13,0
CUST0059,Female,55,Hà Nội,23612264,Self-employed," 20,000,000 ",9, 32.82 ," 2,537,033 ",2025-05-03,Active,0,0
CUST0060,Male,34,Cần Thơ,27755602,Labor," 5,000,000 ",9, 57.76 ," 697,614 ",2025-04-26,Overdue,20,0
CUST0061,Male,42,Hồ Chí Minh,14870586,Office," 10,000,000 ",3, 42.85 ," 3,574,172 ",2025-05-24,Active,0,0
CUST0062,Female,42,Đồng Nai,11764835,Student," 3,000,000 ",6, 52.11 ," 578,682 ",2025-03-13,Active,0,0
CUST0063,Female,31,Huế,14216178,Self-employed," 20,000,000 ",9, 45.77 ," 2,667,129 ",2025-07-05,Active,0,0
CUST0064,Male,29,Đà Nẵng,22754928,Freelancer," 15,000,000 ",12, 46.73 ," 1,588,483 ",2025-06-23,Active,0,0
CUST0065,Female,20,Đà Nẵng,22073534,Labor," 5,000,000 ",12, 58.81 ," 560,976 ",2025-04-03,Active,0,0
CUST0066,Male,42,Hải Phòng,16888643,Freelancer," 15,000,000 ",12, 45.96 ," 1,582,557 ",2025-07-06,Active,0,0
CUST0067,Male,26,Hồ Chí Minh,25941668,Office," 15,000,000 ",12, 56.70 ," 1,666,234 ",2025-06-08,Active,0,0
CUST0068,Male,58,Đồng Nai,9454386,Student," 3,000,000 ",3, 48.21 ," 1,081,404 ",2025-05-09,Active,0,0
CUST0069,Female,46,Hải Phòng,25716093,Office," 10,000,000 ",6, 52.09 ," 1,928,838 ",2025-03-10,Closed,0,0
CUST0070,Male,41,Hà Nội,15855638,Labor," 5,000,000 ",6, 32.73 ," 914,668 ",2025-07-07,Closed,0,0
CUST0071,Male,21,Cần Thơ,21295304,Freelancer," 20,000,000 ",6, 37.63 ," 3,708,588 ",2025-06-09,Active,0,0
CUST0072,Female,36,Đà Nẵng,20567319,Office," 20,000,000 ",9, 51.92 ," 2,730,046 ",2025-03-03,Active,0,0
CUST0073,Female,41,Bình Dương,25047467,Office," 10,000,000 ",9, 48.24 ," 1,346,155 ",2025-07-06,Closed,0,0
CUST0074,Female,46,Đà Nẵng,23805969,Student," 10,000,000 ",9, 35.11 ," 1,279,900 ",2025-06-24,Overdue,21,0
CUST0075,Female,20,Hồ Chí Minh,13023676,Office," 10,000,000 ",3, 52.16 ," 3,627,219 ",2025-05-24,Overdue,5,0
CUST0076,Female,29,Hồ Chí Minh,12935630,Self-employed," 15,000,000 ",12, 33.20 ," 1,486,018 ",2025-03-02,Overdue,6,0
CUST0077,Male,21,Huế,14629793,Freelancer," 3,000,000 ",12, 48.08 ," 319,780 ",2025-05-03,Active,0,0
CUST0078,Male,35,Hà Nội,5425707,Freelancer," 15,000,000 ",6, 31.19 ," 2,732,288 ",2025-05-04,Active,0,0
CUST0079,Male,54,Hồ Chí Minh,5255720,Freelancer," 10,000,000 ",9, 31.61 ," 1,262,522 ",2025-05-17,Closed,0,0
CUST0080,Female,28,Hải Phòng,16423565,Student," 3,000,000 ",9, 54.39 ," 413,327 ",2025-05-06,Active,0,0
CUST0081,Female,42,Hồ Chí Minh,14091294,Freelancer," 10,000,000 ",12, 50.83 ," 1,080,152 ",2025-05-12,Active,0,0
CUST0082,Female,37,Huế,14163483,Freelancer," 15,000,000 ",9, 30.65 ," 1,886,665 ",2025-04-19,Active,0,0
CUST0083,Female,50,Cần Thơ,4709398,Office," 15,000,000 ",3, 30.38 ," 5,255,276 ",2025-06-16,Active,0,0
CUST0084,Female,35,Hồ Chí Minh,23311835,Labor," 15,000,000 ",6, 44.35 ," 2,833,157 ",2025-03-11,Active,0,0
CUST0085,Female,40,Huế,27053239,Student," 3,000,000 ",6, 38.33 ," 557,361 ",2025-06-05,Overdue,60,1
CUST0086,Female,47,Huế,15852451,Self-employed," 10,000,000 ",12, 42.24 ," 1,036,057 ",2025-06-02,Closed,0,0
CUST0087,Female,36,Đồng Nai,14542147,Self-employed," 20,000,000 ",9, 36.22 ," 2,570,873 ",2025-05-23,Active,0,0
CUST0088,Male,36,Cần Thơ,4498122,Office," 5,000,000 ",6, 50.72 ," 960,859 ",2025-05-28,Active,0,0
CUST0089,Male,42,Huế,18402180,Student," 3,000,000 ",6, 54.46 ," 582,354 ",2025-07-28,Overdue,89,1
CUST0090,Male,21,Huế,20358923,Freelancer," 20,000,000 ",6, 33.49 ," 3,666,395 ",2025-07-23,Active,0,0
CUST0091,Male,56,Đà Nẵng,23065358,Freelancer," 20,000,000 ",9, 33.38 ," 2,542,591 ",2025-06-29,Active,0,0
CUST0092,Female,47,Huế,7602806,Self-employed," 20,000,000 ",3, 32.88 ," 7,035,291 ",2025-04-23,Active,0,0
